ID,name,gender,restrictedZone,type,Lng,Lat
44176,Diamond Creek Primary School,CoEd,FALSE,Primary,145.1582473,-37.6724784
45429,Mooroolbark College,CoEd,FALSE,Secondary,145.315576,-37.774216
44182,Scoresby Primary School,CoEd,FALSE,Primary,145.2263538,-37.893558
45424,Melton Secondary College,CoEd,FALSE,Secondary,144.5671341,-37.690245
44181,Balwyn Primary School,CoEd,TRUE,Primary,145.0812281,-37.8142553
45425,Mentone Girls Secondary College,Girls,FALSE,Secondary,145.0547739,-37.9803265
45421,Melba Secondary College,CoEd,FALSE,Secondary,145.26145,-37.796098
45420,Maribyrnong Secondary College,CoEd,FALSE,Secondary,144.8883533,-37.7791998
44175,Sunbury Primary School,CoEd,FALSE,Primary,144.7262517,-37.5967774
44174,Westmeadows Primary School,CoEd,FALSE,Primary,144.89557,-37.675498
45416,Lyndale Secondary College,CoEd,FALSE,Secondary,145.2067002,-37.9575261
45415,Lilydale High School,CoEd,FALSE,Secondary,145.3450342,-37.7598985
45414,Lalor North Secondary College,CoEd,FALSE,Secondary,145.0343726,-37.6609368
45413,Lalor Secondary College,CoEd,FALSE,Secondary,145.030539,-37.672756
44165,Greenvale Primary School,CoEd,FALSE,Primary,144.8861263,-37.6403284
44164,Camberwell Primary School,CoEd,TRUE,Primary,145.057999,-37.833118
45404,Kensington Community High School,CoEd,FALSE,Secondary,144.9267013,-37.7880847
45405,Kew High School,CoEd,TRUE,Secondary,145.063408,-37.795591
45406,Koonung Secondary College,CoEd,FALSE,Secondary,145.1175056,-37.8025788
44218,Glen Iris Primary School,CoEd,FALSE,Primary,145.0657043,-37.859782
45401,Hawthorn Secondary College,CoEd,FALSE,Secondary,145.0453163,-37.8402158
45396,Western Port Secondary College,CoEd,FALSE,Secondary,145.1758328,-38.3078288
45399,Highvale Secondary College,CoEd,FALSE,Secondary,145.1754063,-37.866443
45394,Gladstone Park Secondary College,CoEd,FALSE,Secondary,144.8901245,-37.6894123
45395,Bundoora Secondary College,CoEd,FALSE,Secondary,145.061554,-37.7076454
45388,Gilmore College For Girls,Girls,FALSE,Secondary,144.8949271,-37.7990154
45390,Frankston High School,CoEd,TRUE,Secondary,145.128613,-38.16056
44202,Moorabbin Primary School,CoEd,FALSE,Primary,145.03971,-37.942978
45384,Epping Secondary College,CoEd,FALSE,Secondary,145.0335782,-37.6441336
45386,Fairhills High School,CoEd,FALSE,Secondary,145.257985,-37.872711
44192,Kew Primary School,CoEd,FALSE,Primary,145.032655,-37.8058
45383,Elwood College,CoEd,FALSE,Secondary,144.9848293,-37.8822824
44195,Sorrento Primary School,CoEd,FALSE,Primary,144.7411184,-38.3411646
45382,Eltham High School,CoEd,FALSE,Secondary,145.141882,-37.725345
45377,East Doncaster Secondary College,CoEd,FALSE,Secondary,145.1589791,-37.7825112
45379,Doncaster Secondary College,CoEd,FALSE,Secondary,145.137522,-37.785016
44198,Hastings Primary School,CoEd,FALSE,Primary,145.1892653,-38.2991017
