id1,id2
7720571,50286
106213625,50265
106432873,45529
107629961,45431
105023594,45622
107917106,45346
108721276,50196
105641099,50267
109655246,50267
108632496,45490
105997178,45572
105342471,45450
105459504,45436
107843116,45395
108492686,45622
108213956,45490
106758513,45495
105578189,45595
106583075,45498
109598596,45539
105940645,45518
108577836,45351
105288078,50196
106159868,45401
105778411,50196
107025586,45395
109347476,45404
105891256,40427
109886776,45357
108283536,45622
108153396,45522
109090396,45360
108082161,45475
110573289,45518
105246219,45539
109264221,45450
109829086,50196
106884825,50267
109223791,45627
105196799,50196
108871846,45490
108358836,44713
105140240,50184
107170483,45466
110160197,45515
107276685,45395
108969951,50270
110197109,45405
105542245,50196
107751516,40427
109178621,45450
108407191,45296
106956568,45490
106089321,45375
108939316,45379
105421122,45450
107812496,45539
108039836,45527
106685036,45252
106404148,45587
111281139,45466
110108325,50196
110296905,45488
105856721,45383
110061461,50267
105751275,50265
105829822,50196
104997043,45539
107785956,50184
109964896,45509
108466581,45544
109501946,45516
109939106,50267
107140419,50267
107115533,50267
106988327,50267
109566581,45252
110962639,45362
109754481,45296
110939227,45469
107393073,45535
107342242,45395
110137789,50267
106120212,45450
110377957,45501
109443541,45595
110330737,45413
110551745,45475
106864534,45572
108446401,45377
108851866,50267
109158856,50270
109991221,45475
107091396,45368
112126491,45368
110697409,45536
112155191,45515
109032941,45518
111450087,45361
112328475,45486
107229926,45491
107318892,45450
105178169,45469
110770355,50199
106564490,50267
109069571,50267
108822396,45490
109533726,45361
111083859,50267
109014711,40620
110089569,45395
106846801,45360
111555035,45431
109052096,45518
106142518,45530
107525857,45341
107212763,45368
107432243,45495
109135671,45516
111210487,45346
109778551,50184
108125331,45518
106668432,45490
107415699,45365
110424293,50196
109807901,50267
111067963,45572
106830945,45296
110352489,45296
109397106,45515
121041410,45488
106715063,45627
107075785,45368
107594977,45509
109552001,50267
108338216,50267
111011739,50196
106730703,45572
108025726,45296
105737226,45253
110826259,45469
108910221,50199
106646548,45572
110809479,45450
109324856,45572
108200326,45361
106744902,45490
110537445,40620
110410993,50196
110479597,45509
120992222,45250
109475806,45475
106932576,45250
109428556,45475
111366547,45420
107013130,45539
120884561,45469
106077031,45486
121066958,45395
110043025,45517
111338923,45560
111251651,45530
110887083,45365
112230927,40433
110796051,45560
110905503,45572
107465529,45490
109795286,45572
107582746,45368
108927786,45515
107248963,50267
110234173,45379
108069276,45509
108840731,45587
110649669,45377
110840251,45368
111134179,45538
111518799,45545
110268909,45572
121010386,45395
107543059,45475
109314146,45498
111355859,40620
111107655,45250
111823307,45362
111427491,45475
121030990,45383
107568946,45517
109465506,45377
110492865,50196
107260393,45431
107554852,45515
108397186,45401
105236228,50184
110634329,45518
111404851,45622
109412806,45475
107455942,45450
110250057,45360
112065083,50267
110523525,45517
106945297,50267
110926967,50196
112054351,45420
108568806,45518
118462483,45428
111488223,45626
111047827,45466
110022665,45395
110746129,45469
110856839,45475
110279701,45510
110510101,45535
109006326,45431
110442253,45296
109305886,45572
110754895,45595
111311811,45515
110288713,45431
109212286,45296
116350463,50267
110013829,45509
110617337,45530
111036435,45530
106660465,45595
111998923,45522
110400489,45431
105451745,45377
107369863,45296
112184827,50267
111202843,45486
110468197,45361
110736397,45401
112378335,45518
107485617,45495
111469199,45587
111241943,45524
111883423,45515
109591001,50267
109488811,45250
110261633,45516
115329095,45420
112271303,45377
109338686,45383
111547815,50199
111438071,45469
111263535,45572
112500359,45587
108331096,45361
111124267,45572
121057074,45625
111502063,45475
111385887,45362
111182823,50196
111938255,50567
110996523,45495
107477212,45572
120921589,45622
111150523,45546
110036429,50267
110898851,45527
112224303,40427
111743231,45519
112098975,45361
111669955,45406
111167311,45572
121024538,45394
110055033,45529
107519430,45434
110729993,45529
113264183,45421
109870451,50270
105884918,45377
111812399,45450
107609876,50183
112291383,45368
110676821,50267
111909347,45346
108147286,45509
106640455,45401
108352756,45364
107382792,45498
